City,Country,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,HDI,Happinness Score,GDP/capita,Social Support,Healthy Life Expectancy,Freedom to make life choices,Generosity,Perception of Corruption,Country World Heritage Count
Tirana,Albania,69.78,17.8,44.44,80.84,36.81,47.99,0.85,3.12,4.26,1.27,426.24,285.76,0.716,4.719,0.947,0.848,0.874,0.383,0.178,0.027,4
Buenos Aires,Argentina,77.29,29.29,79.17,47.26,39.78,59.46,2.08,5.48,3.94,0.89,590.75,657.33,0.808,6.086,1.092,1.432,0.881,0.471,0.066,0.05,11
Adelaide,Australia,87.29,72.03,56.25,12.01,91.54,41.32,2.49,11.42,10.08,0.95,1382.26,2911.69,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Brisbane,Australia,87.63,53.72,88.89,22.19,77.07,45.84,2.69,10.08,10.08,0.99,2351.93,2603.92,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Canberra,Australia,83.23,63.26,91.9,11.48,93.05,40.36,2.35,11.42,10.08,0.99,1984.74,3023.91,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Darwin,Australia,79.63,49.51,75.28,6.78,78.52,32.8,3.36,10.08,10.08,1.04,2015.94,2435.93,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Gold Coast,Australia,82.03,56.11,82.23,30.55,81.31,43.02,2.69,10.08,8.06,0.98,1310.36,2687.92,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Melbourne,Australia,92.58,55.48,76.67,30.28,68.99,48.75,2.35,12.1,10.08,0.95,2073.06,2623.41,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Perth,Australia,95.38,62.11,80.56,23.53,74.62,50.01,2.87,11.43,10.08,0.97,2083.14,3358.55,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Sydney,Australia,94.53,54.82,71.27,18.48,74.32,32.8,2.35,12.1,10.75,1,2788.71,2755.12,0.933,7.228,1.372,1.548,1.036,0.557,0.332,0.29,20
Vienna,Austria,81.84,51.21,79.86,22.39,77.21,27.45,2.13,7.67,4.26,1.25,1248.9,1619.72,0.881,7.246,1.376,1.475,1.016,0.532,0.244,0.226,10
Baku,Azerbaijan,66.42,11.38,28.7,49.47,17.2,36.69,2.53,5.48,7.59,0.51,1278.72,340.99,0.747,5.208,1.043,1.147,0.769,0.351,0.035,0.182,3
Manama,Bahrain,77.56,40.26,72.22,17.06,63.85,19.79,2.6,5.2,19.61,0.17,1078.72,1176.78,0.815,6.199,1.362,1.368,0.871,0.536,0.255,0.11,3
Dhaka,Bangladesh,71.58,21.32,20.83,62.14,13.48,59.06,1.31,2.09,9.17,0.77,312.91,295.54,0.558,4.456,0.562,0.928,0.723,0.527,0.166,0.143,3
Minsk,Belarus,68.41,16.14,50,66.89,51.66,26.82,1.31,2.12,4.25,0.56,491.12,294.2,0.786,5.323,1.067,1.465,0.789,0.235,0.094,0.142,4
Brussels,Belgium,84.8,54.41,81.35,6.79,65.42,53.79,2.13,7.67,5.11,1.36,1193.48,1875.46,0.881,6.923,1.356,1.504,0.986,0.473,0.16,0.21,13
Gaborone,Botswana,75.32,30.98,27.78,30.55,31.77,50,1.19,2.58,3.53,0.71,395.15,529.22,0.683,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2
Belo Horizonte,Brazil,71.79,21.77,57.26,59.73,36.26,50.99,1.38,5.69,8.13,0.9,764.05,455.69,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Colombo,Brazil,72.52,20.18,75,33.59,26.68,50,1.54,2.35,11.16,0.83,713.9,326.88,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Curitiba,Brazil,76.15,34.97,59.03,33.59,58.67,46.27,1.54,5.2,8.05,0.87,861.59,796.57,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Fortaleza,Brazil,80.17,52.28,45.46,66.32,36.68,78.65,1.46,5.2,5.85,0.88,650.26,1307.54,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Porto Alegre,Brazil,70.46,19.07,51.01,86.16,31.87,76.46,1.14,5.2,4.71,0.89,487.69,306.89,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Rio De Janeiro,Brazil,73.44,22.13,61.67,84.51,21.32,67.93,1.46,6.5,7.8,0.94,1300.51,650.26,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Sao Paulo,Brazil,75.4,24.24,63.79,72.04,30.57,66.31,1.3,6.5,8.13,0.88,1219.23,650.26,0.744,6.3,1.004,1.439,0.802,0.39,0.099,0.086,22
Sofia,Bulgaria,71.97,23.03,51.43,26.63,37.72,48.26,0.87,3.93,3.06,1.11,349.35,353.72,0.777,5.011,1.092,1.513,0.815,0.311,0.081,0.004,10
Varna,Bulgaria,71.11,20.34,50.23,80.84,36.03,36.46,0.83,3.93,3.06,1.09,305.68,283.85,0.777,5.011,1.092,1.513,0.815,0.311,0.081,0.004,10
Calgary,Canada,85.77,63.9,75.33,23.53,87.57,29.53,2.55,8.29,9.56,0.74,1115.65,2231.29,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Edmonton,Canada,85.94,67.19,78.83,22.79,89.58,31.14,2.55,8.29,11.16,0.69,1147.52,2199.42,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Montreal,Canada,89.28,66.99,66.77,6.27,78.55,31.63,1.91,7.65,9.56,0.89,956.27,1785.03,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Ottawa,Canada,87.69,91.85,66.02,33.55,86.11,22.25,2.39,7.65,9.56,0.8,1020.02,2900.68,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Regina,Canada,82.07,60.8,60.24,84.07,79.98,41.56,2.65,7.65,9.56,0.8,956.27,1912.54,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Toronto,Canada,88.42,61.44,66.11,8.95,77.02,27.4,2.23,8.29,9.5,0.83,1593.78,1912.54,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Victoria,Canada,81.44,52.91,79.63,68.93,80.87,42.45,2.39,7.65,9.56,0.83,1083.77,1657.53,0.902,7.278,1.365,1.505,1.039,0.584,0.285,0.308,20
Santiago,Chile,74.6,29.96,66.11,92.42,39.13,42.33,1.64,5.34,4.11,1.09,547.6,616.05,0.822,6.444,1.159,1.369,0.92,0.357,0.187,0.056,6
Beijing,China,74.17,22.97,58.9,57.18,25.69,47.61,2.64,8.46,10.36,0.86,1586.25,600.13,0.719,5.191,1.029,1.125,0.893,0.521,0.058,0.1,55
Shanghai,China,75.69,26.74,78.7,61.74,31.66,16.51,2.96,8.46,8.46,0.85,1533.38,592.2,0.719,5.191,1.029,1.125,0.893,0.521,0.058,0.1,55
Bogota,Colombia,70.6,14.52,73.89,14.54,29.33,46.02,1.25,4.27,7.48,0.8,426.95,326.88,0.711,6.125,0.985,1.41,0.841,0.47,0.099,0.034,9
Medellin,Colombia,70.14,19.2,85.88,37.27,39.7,46.02,1.31,3.38,7.48,0.78,261.51,310.54,0.711,6.125,0.985,1.41,0.841,0.47,0.099,0.034,9
Zagreb,Croatia,73.84,26.71,52.78,83.45,47.59,32.29,1.12,3.7,4.48,1.23,504.36,605.23,0.812,5.432,1.155,1.266,0.914,0.296,0.119,0.022,10
Limassol,Cyprus,78.3,40.13,77.6,26.74,74.83,23.75,2.98,6.82,4.26,1.15,618.05,937.73,0.845,6.046,1.263,1.223,1.042,0.406,0.19,0.041,3
Nicosia,Cyprus,78.76,39.03,72.04,6.27,57.58,38.22,3.41,6.82,4.69,1.2,639.36,1065.6,0.845,6.046,1.263,1.223,1.042,0.406,0.19,0.041,3
Prague,Czech Republic,76.64,35.32,64.15,41.53,58.85,34.54,1.32,5.08,3.29,1.18,821.94,723.3,0.861,6.852,1.269,1.487,0.92,0.457,0.046,0.036,14
Copenhagen,Denmark,82.85,49.33,85.14,30.54,75.23,32.39,3.66,9.15,5.72,1.4,1658.01,2001.04,0.9,7.6,1.383,1.573,0.996,0.592,0.252,0.41,10
Santo Domingo,Dominican Republic,74.6,28.82,62.5,18.59,41.88,62.19,0.8,3.27,5,1.01,437.44,556.74,0.7,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1
Quito,Ecuador,67.15,14.24,32.41,14.76,46.43,48.36,1.22,2.94,6.54,0.29,310.54,196.13,0.711,6.028,0.912,1.312,0.868,0.498,0.126,0.087,5
Cairo,Egypt,67.93,11.9,56.48,86.16,17.25,48.81,1.42,3.27,7.33,0.19,425.85,163.44,0.682,4.166,0.913,1.039,0.644,0.241,0.076,0.067,7
Addis Ababa,Ethiopia,59.88,6.38,63.89,85.59,28.41,26.04,0.46,2.29,4.18,0.72,653.77,124.22,0.435,4.286,0.336,1.033,0.532,0.344,0.209,0.1,9
Helsinki,Finland,81.34,54.41,74.35,29.14,75.85,40.96,2.57,10.23,8.52,1.43,1534.47,1960.71,0.879,7.769,1.34,1.587,0.986,0.596,0.153,0.393,7
Lyon,France,84.78,56.05,88.65,37.21,71.13,47.27,2.13,7.67,4.69,1.19,895.11,1704.96,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Marseille,France,81.62,57.05,77.53,25.59,59.87,47.27,1.7,8.44,4.26,1.32,1022.98,1236.1,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Nice,France,82.55,49.52,87.95,59.19,68.34,47.27,2.13,8.1,5.11,1.3,1278.72,1624.66,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Paris,France,95.92,47.08,83.33,59.18,52.62,53.75,2.56,8.95,5.11,1.32,2131.21,2045.96,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Strasbourg,France,84.18,72.23,42.81,39.91,66.5,47.27,2.13,7.25,4.26,1.32,937.73,1790.21,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Toulouse,France,82.1,54.47,81.01,36.23,66.66,47.27,1.92,7.25,4.26,1.28,1022.98,2011.86,0.884,6.592,1.324,1.472,1.045,0.436,0.111,0.183,45
Aachen,Germany,81.64,60.55,73.25,11.69,90.52,15.34,2.05,6.88,4.26,1.33,767.23,1619.72,0.911,6.985,1.373,1.454,0.987,0.495,0.261,0.265,46
